,date,actions
0,2018-01-02,[100]
1,2018-01-03,[81]
2,2018-01-04,[94]
3,2018-01-05,[96]
4,2018-01-08,[100]
5,2018-01-09,[90]
6,2018-01-10,[100]
7,2018-01-11,[100]
8,2018-01-12,[100]
9,2018-01-16,[100]
10,2018-01-17,[100]
11,2018-01-18,[100]
12,2018-01-19,[86]
13,2018-01-22,[95]
14,2018-01-23,[85]
15,2018-01-24,[95]
16,2018-01-25,[90]
17,2018-01-26,[90]
18,2018-01-29,[76]
19,2018-01-30,[88]
20,2018-01-31,[100]
21,2018-02-01,[100]
22,2018-02-02,[100]
23,2018-02-05,[90]
24,2018-02-06,[88]
25,2018-02-07,[91]
26,2018-02-08,[98]
27,2018-02-09,[100]
28,2018-02-12,[100]
29,2018-02-13,[100]
30,2018-02-14,[99]
31,2018-02-15,[100]
32,2018-02-16,[100]
33,2018-02-20,[91]
34,2018-02-21,[85]
35,2018-02-22,[100]
36,2018-02-23,[100]
37,2018-02-26,[95]
38,2018-02-27,[100]
39,2018-02-28,[100]
40,2018-03-01,[100]
41,2018-03-02,[100]
42,2018-03-05,[100]
43,2018-03-06,[86]
44,2018-03-07,[84]
45,2018-03-08,[100]
46,2018-03-09,[100]
47,2018-03-12,[91]
48,2018-03-13,[84]
49,2018-03-14,[84]
50,2018-03-15,[100]
51,2018-03-16,[100]
52,2018-03-19,[100]
53,2018-03-20,[91]
54,2018-03-21,[100]
55,2018-03-22,[96]
56,2018-03-23,[89]
57,2018-03-26,[100]
58,2018-03-27,[100]
59,2018-03-28,[100]
60,2018-03-29,[95]
61,2018-04-02,[100]
62,2018-04-03,[100]
63,2018-04-04,[89]
64,2018-04-05,[100]
65,2018-04-06,[88]
66,2018-04-09,[100]
67,2018-04-10,[100]
68,2018-04-11,[78]
69,2018-04-12,[88]
70,2018-04-13,[100]
71,2018-04-16,[100]
72,2018-04-17,[100]
73,2018-04-18,[97]
74,2018-04-19,[96]
75,2018-04-20,[100]
76,2018-04-23,[100]
77,2018-04-24,[100]
78,2018-04-25,[93]
79,2018-04-26,[100]
80,2018-04-27,[100]
81,2018-04-30,[90]
82,2018-05-01,[93]
83,2018-05-02,[100]
84,2018-05-03,[100]
