account_rewards,date
743.3418596724514,2018-01-02
-64486.90425141901,2018-01-03
128720.31317891693,2018-01-04
-54109.71276539238,2018-01-05
26744.13140540314,2018-01-08
-186283.8648109741,2018-01-09
296957.26511687087,2018-01-10
-178483.2636964569,2018-01-11
24451.665245056152,2018-01-12
43058.594871520996,2018-01-16
46108.05930328381,2018-01-17
-142946.0693473817,2018-01-18
256012.9068489076,2018-01-19
-359703.2270011903,2018-01-22
344383.6635017396,2018-01-23
2153.002082824707,2018-01-24
-221343.45431900036,2018-01-25
29675.540729522705,2018-01-26
15542.20560836792,2018-01-29
38961.910583496094,2018-01-30
3178.159675598261,2018-01-31
-25205.821208953974,2018-02-01
-5363.2672691345215,2018-02-02
82585.70118331921,2018-02-05
-94421.64327240002,2018-02-06
-253000.53490447998,2018-02-07
381062.5125703126,2018-02-08
-227506.83992004406,2018-02-09
252303.94847106945,2018-02-12
-367513.6279487611,2018-02-13
164176.60585784912,2018-02-14
123047.75747299206,2018-02-15
-291711.5807609559,2018-02-16
384102.62967300427,2018-02-20
-237507.50851058972,2018-02-21
258419.68178176892,2018-02-22
-381200.454273224,2018-02-23
391588.0905570985,2018-02-26
-59404.38020324707,2018-02-27
-119637.43997573864,2018-02-28
-250953.3253440857,2018-03-01
403557.0608520509,2018-03-02
-228852.05769348156,2018-03-05
218675.86157989514,2018-03-06
-380991.926513672,2018-03-07
409564.10572052014,2018-03-08
-13032.594528198242,2018-03-09
-216863.77511215222,2018-03-12
-174315.8053264236,2018-03-13
370590.88244851294,2018-03-14
-58397.463585990714,2018-03-15
-79284.80636215222,2018-03-16
-209526.29893701547,2018-03-19
389895.3878288268,2018-03-20
-80286.75022888184,2018-03-21
-129965.41435241688,2018-03-22
-218411.58211517334,2018-03-23
373664.9316101073,2018-03-26
-221962.3586578368,2018-03-27
230645.17355346668,2018-03-28
-379666.00757598865,2018-03-29
225288.69401550293,2018-04-02
62237.92488861072,2018-04-03
-258678.33380126941,2018-04-04
345479.4900512694,2018-04-05
-220446.02763366688,2018-04-06
241106.2272567748,2018-04-09
-377955.8177871703,2018-04-10
379246.8153762816,2018-04-11
-28504.554817199707,2018-04-12
-112308.40618896473,2018-04-13
-232418.3424758911,2018-04-16
421824.28760600265,2018-04-17
-230353.484638214,2018-04-18
216866.45693588245,2018-04-19
-385947.20372390735,2018-04-20
354109.11135482776,2018-04-23
25574.009216308594,2018-04-24
-203711.6692199706,2018-04-25
-193133.07501320646,2018-04-26
321863.26400633226,2018-04-27
16347.771807365585,2018-04-30
-103920.59064865124,2018-05-01
-207179.51051684946,2018-05-02
408841.18717956543,2018-05-03
-933.6693725585938,2018-05-04
-204655.78886032104,2018-05-07
-240600.5814590454,2018-05-08
495770.2294899521,2018-05-09
-261916.40322494507,2018-05-10
269801.795337677,2018-05-11
-442624.22233200073,2018-05-14
424931.51195144653,2018-05-15
32784.321937561035,2018-05-16
-233715.01193618774,2018-05-17
-267790.1174142151,2018-05-18
462106.63753628545,2018-05-21
-250251.67260360718,2018-05-22
214851.74782180786,2018-05-23
-427233.7749824524,2018-05-24
351849.18542197417,2018-05-25
178856.33494590386,2018-05-29
-86097.98670196533,2018-05-30
-207844.31855010986,2018-05-31
205078.67569732666,2018-06-01
-199334.42399978638,2018-06-04
302654.53451156616,2018-06-05
-457003.56956100476,2018-06-06
469847.64184334956,2018-06-07
48693.548683166504,2018-06-08
-310246.27907943726,2018-06-11
-232185.76908676152,2018-06-12
336127.0745549012,2018-06-13
84496.51155090332,2018-06-14
-153667.67253112793,2018-06-15
-250163.330230713,2018-06-18
471786.92728424084,2018-06-19
4016.584403991699,2018-06-20
-299218.92038726807,2018-06-21
-280847.48337554943,2018-06-22
571658.6745527344,2018-06-25
-291166.5388946533,2018-06-26
284031.9194717407,2018-06-27
-468168.68254089355,2018-06-28
211158.2313547288,2018-06-29
88547.86274337769,2018-07-02
-290446.03552246105,2018-07-03
461544.0790977479,2018-07-05
-229491.32386016846,2018-07-06
282741.1684112549,2018-07-09
-498055.46744918835,2018-07-10
476303.95416641247,2018-07-11
44401.43176269531,2018-07-12
-299839.90547943115,2018-07-13
-316349.7439842225,2018-07-16
647302.1428273582,2018-07-17
-297956.4154968262,2018-07-18
269096.9411468506,2018-07-19
-516588.9181900023,2018-07-20
509297.10526275623,2018-07-23
85922.55699920654,2018-07-24
-355127.29989624023,2018-07-25
-188454.8345184325,2018-07-26
310852.9016523323,2018-07-27
76916.84046936035,2018-07-30
-202942.3401298523,2018-07-31
-215177.78748375317,2018-08-01
537335.6159878846,2018-08-02
-10906.123107910156,2018-08-03
