,date,actions
0,2018-01-02,[100]
1,2018-01-03,[81]
2,2018-01-04,[91]
3,2018-01-05,[84]
4,2018-01-08,[83]
5,2018-01-09,[100]
6,2018-01-10,[85]
7,2018-01-11,[80]
8,2018-01-12,[100]
9,2018-01-16,[92]
10,2018-01-17,[97]
11,2018-01-18,[97]
12,2018-01-19,[90]
13,2018-01-22,[81]
14,2018-01-23,[97]
15,2018-01-24,[94]
16,2018-01-25,[100]
17,2018-01-26,[100]
18,2018-01-29,[83]
19,2018-01-30,[81]
20,2018-01-31,[100]
21,2018-02-01,[100]
22,2018-02-02,[90]
23,2018-02-05,[96]
24,2018-02-06,[96]
25,2018-02-07,[100]
26,2018-02-08,[100]
27,2018-02-09,[88]
28,2018-02-12,[93]
29,2018-02-13,[93]
30,2018-02-14,[100]
31,2018-02-15,[100]
32,2018-02-16,[95]
33,2018-02-20,[100]
34,2018-02-21,[96]
35,2018-02-22,[90]
36,2018-02-23,[100]
37,2018-02-26,[93]
38,2018-02-27,[99]
39,2018-02-28,[94]
40,2018-03-01,[100]
41,2018-03-02,[100]
42,2018-03-05,[100]
43,2018-03-06,[100]
44,2018-03-07,[96]
45,2018-03-08,[100]
46,2018-03-09,[100]
47,2018-03-12,[100]
48,2018-03-13,[100]
49,2018-03-14,[94]
50,2018-03-15,[89]
51,2018-03-16,[97]
52,2018-03-19,[91]
53,2018-03-20,[100]
54,2018-03-21,[100]
55,2018-03-22,[83]
56,2018-03-23,[100]
57,2018-03-26,[100]
58,2018-03-27,[100]
59,2018-03-28,[95]
60,2018-03-29,[100]
61,2018-04-02,[100]
62,2018-04-03,[100]
63,2018-04-04,[100]
64,2018-04-05,[99]
65,2018-04-06,[100]
66,2018-04-09,[90]
67,2018-04-10,[100]
68,2018-04-11,[97]
69,2018-04-12,[100]
70,2018-04-13,[84]
71,2018-04-16,[95]
72,2018-04-17,[100]
73,2018-04-18,[100]
74,2018-04-19,[78]
75,2018-04-20,[93]
76,2018-04-23,[86]
77,2018-04-24,[91]
78,2018-04-25,[93]
79,2018-04-26,[100]
80,2018-04-27,[93]
81,2018-04-30,[100]
82,2018-05-01,[91]
83,2018-05-02,[100]
84,2018-05-03,[91]
