account_rewards,date
22742.57806208788,2018-01-02
-73217.01227824413,2018-01-03
68292.50899855047,2018-01-04
6793.710822696681,2018-01-05
-81605.61866610707,2018-01-08
-156352.0674062539,2018-01-09
305122.34940195456,2018-01-10
-25749.333050956717,2018-01-11
-67868.54060699453,2018-01-12
93319.47752784716,2018-01-16
-81622.78080208192,2018-01-17
-72931.90979362489,2018-01-18
371626.01245096594,2018-01-19
-506061.8381905671,2018-01-22
351376.5264168129,2018-01-23
-67447.98936285404,2018-01-24
-146750.5012468337,2018-01-25
94386.0945793686,2018-01-26
-22242.509567260742,2018-01-29
52398.01494291308,2018-01-30
2677.1607208251953,2018-01-31
-20281.43796920788,2018-02-01
-79636.91949081421,2018-02-02
107877.14917373669,2018-02-05
43299.96181389224,2018-02-06
-384974.5377879295,2018-02-07
518870.508399353,2018-02-08
-421541.04364496225,2018-02-09
458397.6180533905,2018-02-12
-456860.0014684143,2018-02-13
203550.7415421448,2018-02-14
-37754.021526752505,2018-02-15
-170127.20384979248,2018-02-16
444775.6923593292,2018-02-20
-432217.2651153526,2018-02-21
475470.0026680222,2018-02-22
-448701.0983886719,2018-02-23
445172.6154785156,2018-02-26
-211865.8274154663,2018-02-27
89998.89085388184,2018-02-28
-390930.7699127197,2018-03-01
507094.44831085205,2018-03-02
-462002.4922180176,2018-03-05
438874.49726867676,2018-03-06
-437300.03354644775,2018-03-07
447616.29362487793,2018-03-08
-106771.42127990723,2018-03-09
-18415.222106933594,2018-03-12
-219755.50177001953,2018-03-13
300293.7532119751,2018-03-14
-137109.17791748047,2018-03-15
-247929.9753112793,2018-03-16
-19193.64786529541,2018-03-19
448381.76863861084,2018-03-20
-250376.17317199707,2018-03-21
78293.17427825928,2018-03-22
-325888.3540725708,2018-03-23
438323.6605453491,2018-03-26
-428650.6678009033,2018-03-27
425138.2509918213,2018-03-28
-431300.55293273926,2018-03-29
418534.7422943115,2018-04-02
-282362.25493621826,2018-04-03
-109344.40354156494,2018-04-04
383252.34117889404,2018-04-05
-398602.06548309326,2018-04-06
439588.3392486572,2018-04-09
-429550.4671936035,2018-04-10
411714.44411468506,2018-04-11
-162140.24625396729,2018-04-12
94017.36502075195,2018-04-13
-350025.0626296997,2018-04-16
475988.2951965332,2018-04-17
-452532.6402130127,2018-04-18
431087.3418121338,2018-04-19
-426007.587059021,2018-04-20
373856.5686721802,2018-04-23
-106107.4151763916,2018-04-24
34470.96964263916,2018-04-25
-187790.85624694836,2018-04-26
232877.20297241223,2018-04-27
-89789.78281402588,2018-04-30
-238659.55960083008,2018-05-01
-40244.431076049805,2018-05-02
432087.5338745117,2018-05-03
-167189.68087005615,2018-05-04
64862.61209106445,2018-05-07
-338010.26695251465,2018-05-08
470252.54712677,2018-05-09
-443674.8219833374,2018-05-10
436638.86682128906,2018-05-11
-429993.1900177002,2018-05-14
403294.19987487793,2018-05-15
-114227.5396118164,2018-05-16
70563.53052520752,2018-05-17
-255022.8712234497,2018-05-18
132530.86193847656,2018-05-21
-249678.9782180786,2018-05-22
356687.0196609497,2018-05-23
-364564.0585784912,2018-05-24
394542.20737457275,2018-05-25
-114076.52598571777,2018-05-29
-32802.93427276611,2018-05-30
-242374.18521881104,2018-05-31
363709.50228881836,2018-06-01
-355381.9420776367,2018-06-04
463521.3437652588,2018-06-05
-436502.3897705078,2018-06-06
457642.3649673462,2018-06-07
-156109.6849746704,2018-06-08
50649.10761260986,2018-06-11
-222278.25231170654,2018-06-12
271805.737701416,2018-06-13
-114896.57662200928,2018-06-14
-242804.04656982422,2018-06-15
-61260.506774902344,2018-06-18
426173.43535614014,2018-06-19
-203323.64280700684,2018-06-20
103425.4916305542,2018-06-21
-363719.636680603,2018-06-22
441501.7886276245,2018-06-25
-439331.796005249,2018-06-26
424040.1592102051,2018-06-27
-402555.54428100586,2018-06-28
315911.807220459,2018-06-29
-201595.60318756104,2018-07-02
-104773.82110595703,2018-07-03
389778.4463882446,2018-07-05
-383466.0676956177,2018-07-06
431442.89711761475,2018-07-09
-421555.7550506592,2018-07-10
401590.42223358154,2018-07-11
-170141.46216583252,2018-07-12
130604.33266448975,2018-07-13
-380076.2240447998,2018-07-16
469365.2779006958,2018-07-17
-455204.7402496338,2018-07-18
424706.75007629395,2018-07-19
-416514.4717025757,2018-07-20
409519.6063308716,2018-07-23
-112104.04426574707,2018-07-24
62090.31332397461,2018-07-25
-218017.66093444824,2018-07-26
266256.6879501343,2018-07-27
-118930.45776367188,2018-07-30
-243613.8853149414,2018-07-31
-34325.53520202637,2018-08-01
445618.0577468872,2018-08-02
-217709.48105621338,2018-08-03
141594.56100463867,2018-08-06
-391083.04608154297,2018-08-07
467843.3846359253,2018-08-08
-451535.3658294678,2018-08-09
418031.9052963257,2018-08-10
-411654.8531112671,2018-08-13
389985.1471633911,2018-08-14
-121534.16535949707,2018-08-15
124023.71048736572,2018-08-16
-275773.342918396,2018-08-17
122458.69582366943,2018-08-20
-225729.04027557373,2018-08-21
312249.3677597046,2018-08-22
-332946.8867111206,2018-08-23
454818.81663513184,2018-08-24
-197774.29747009277,2018-08-27
2747.1374893188477,2018-08-28
-223897.41103363037,2018-08-29
318117.3233413696,2018-08-30
-322588.0885925293,2018-08-31
443806.941986084,2018-09-04
-435170.49506378174,2018-09-05
450656.50772094727,2018-09-06
-190144.4638748169,2018-09-07
82214.75517272949,2018-09-10
-209492.54927825928,2018-09-11
307985.0948486328,2018-09-12
-140333.75761413574,2018-09-13
-259816.8272857666,2018-09-14
-18217.164237976074,2018-09-17
457697.7277984619,2018-09-18
-222383.1838531494,2018-09-19
156174.60665893555,2018-09-20
-416673.2048110962,2018-09-21
478318.2138900757,2018-09-24
-456704.60385894775,2018-09-25
441237.0450820923,2018-09-26
-433273.0223007202,2018-09-27
339400.24591064453,2018-09-28
-177545.63566589355,2018-10-01
-153030.2597503662,2018-10-02
438770.1329727173,2018-10-03
-457777.074508667,2018-10-04
469821.036026001,2018-10-05
-467123.6366958618,2018-10-08
400973.1316986084,2018-10-09
-217556.43934631348,2018-10-10
141910.07563781738,2018-10-11
-398100.5990524292,2018-10-12
508699.01697540283,2018-10-15
-471751.1932220459,2018-10-16
444272.47465515137,2018-10-17
-432711.5440444946,2018-10-18
405531.57579803467,2018-10-19
-192402.6641845703,2018-10-22
97732.17311096191,2018-10-23
-217504.35934448242,2018-10-24
258592.39478302002,2018-10-25
-115688.36497497559,2018-10-26
-231333.47541809082,2018-10-29
-18456.829582214355,2018-10-30
434193.7677459717,2018-10-31
-197418.05574798584,2018-11-01
105969.60213470459,2018-11-02
-361343.8314819336,2018-11-05
501800.5911102295,2018-11-06
-478646.74660491943,2018-11-07
472984.18006134033,2018-11-08
-457971.6057739258,2018-11-09
371953.6713409424,2018-11-12
-135857.0846710205,2018-11-13
12742.214340209961,2018-11-14
1799.8122100830078,2018-11-15
-27398.046226501465,2018-11-16
-12665.185569763184,2018-11-19
-4660.736083984375,2018-11-20
-8061.185440063477,2018-11-21
18197.988319396973,2018-11-23
10097.454902648926,2018-11-26
44253.5680847168,2018-11-27
3521.748435974121,2018-11-28
20085.013381958008,2018-11-29
8841.202697753906,2018-11-30
-39989.0348739624,2018-12-03
-6188.6830978393555,2018-12-04
-148893.54026031494,2018-12-06
125276.14682769775,2018-12-07
451.7439193725586,2018-12-10
9351.367370605469,2018-12-11
2914.7648010253906,2018-12-12
-38693.499282836914,2018-12-13
-23731.178483318305,2018-12-14
8181.730960128829,2018-12-17
-64173.33557880414,2018-12-18
20228.069539718563,2018-12-19
-21576.509028377477,2018-12-20
-28783.033733917167,2018-12-21
108133.5180409851,2018-12-24
-63161.45521723945,2018-12-26
-44020.11481097026,2018-12-27
319370.303955078,2018-12-28
