account_rewards,date
12894.583172668586,2018-01-02
-99256.22136099637,2018-01-03
134972.84363655478,2018-01-04
-19351.87107547396,2018-01-05
12035.09354122926,2018-01-08
-83654.14707669069,2018-01-09
123399.69963133987,2018-01-10
-201191.14305926883,2018-01-11
283201.57075598906,2018-01-12
-34218.222602699185,2018-01-16
-4644.937366485596,2018-01-17
-296191.77889339835,2018-01-18
462123.0822029114,2018-01-19
-299135.4174308777,2018-01-22
206733.1464721337,2018-01-23
-34358.41067494219,2018-01-24
-125383.41115816496,2018-01-25
71517.17516011442,2018-01-26
35708.235771751264,2018-01-29
40792.35680079274,2018-01-30
5830.934610458324,2018-01-31
-30715.493732723175,2018-02-01
-74033.0664024353,2018-02-02
33379.44130963134,2018-02-05
-95989.87079238892,2018-02-06
-264818.4313065796,2018-02-07
636687.3684734879,2018-02-08
-479986.50772476196,2018-02-09
508634.2800254822,2018-02-12
-510652.8278778915,2018-02-13
218659.37201697542,2018-02-14
-1023.7853465881199,2018-02-15
-218220.45858798223,2018-02-16
496521.22995844646,2018-02-20
-464547.4116744995,2018-02-21
547636.3003387451,2018-02-22
-555243.7209701538,2018-02-23
548594.432760437,2018-02-26
-213972.85535430908,2018-02-27
-211852.78502013395,2018-02-28
-292841.6018676758,2018-03-01
769983.3640077133,2018-03-02
-565629.7612991333,2018-03-05
559280.9832992554,2018-03-06
-612746.050994873,2018-03-07
576713.1636047363,2018-03-08
-82117.9669342041,2018-03-09
-276855.5577888489,2018-03-12
-270283.9593849182,2018-03-13
341546.64935302734,2018-03-14
-11060.631393432617,2018-03-15
-168516.30739422992,2018-03-16
-108827.9001666297,2018-03-19
624885.2031500854,2018-03-20
-271378.027140236,2018-03-21
-195682.42755126953,2018-03-22
-319951.8292497557,2018-03-23
748691.1763117218,2018-03-26
-527801.1083679199,2018-03-27
544180.0477294922,2018-03-28
-643577.1083145142,2018-03-29
361909.53590110014,2018-04-02
-156204.1963005066,2018-04-03
-183643.93827899173,2018-04-04
547640.215423584,2018-04-05
-440790.2243118286,2018-04-06
543875.5497207642,2018-04-09
-658691.466217041,2018-04-10
576353.4658584595,2018-04-11
-95777.74367523193,2018-04-12
-195020.61953353882,2018-04-13
-422283.8610687256,2018-04-16
813055.4338951111,2018-04-17
-537607.324131012,2018-04-18
530693.577419281,2018-04-19
-654286.2824440002,2018-04-20
542462.9810905457,2018-04-23
6723.556465148926,2018-04-24
-208063.61604690552,2018-04-25
-348212.5575904846,2018-04-26
362033.6438431777,2018-04-27
51457.2391166687,2018-04-30
-284566.59803387057,2018-05-01
-142194.86306909565,2018-05-02
667945.6531257629,2018-05-03
-106747.91397094727,2018-05-04
-303507.94131851196,2018-05-07
-387559.55405426025,2018-05-08
825542.4321479797,2018-05-09
-536730.7254295349,2018-05-10
549437.0224723816,2018-05-11
-684939.5966529846,2018-05-14
600598.0954627991,2018-05-15
15180.35478591919,2018-05-16
-195130.91138839722,2018-05-17
-513186.1892814636,2018-05-18
623887.2224655151,2018-05-21
-405246.2547569275,2018-05-22
421452.87356185913,2018-05-23
-684683.397877945,2018-05-24
499001.18212890637,2018-05-25
217055.59888839722,2018-05-29
-179516.3725852205,2018-05-30
-282591.1440811156,2018-05-31
440059.0828704833,2018-06-01
-435026.2875251769,2018-06-04
603898.8932838439,2018-06-05
-705533.2497940062,2018-06-06
714861.6695861815,2018-06-07
-47695.67687225342,2018-06-08
-275762.1224784851,2018-06-11
-387997.2567062377,2018-06-12
358110.1955923004,2018-06-13
104585.018280735,2018-06-14
-310871.09738907614,2018-06-15
-164819.24241284188,2018-06-18
666258.3214378357,2018-06-19
-102780.19267272949,2018-06-20
-352032.6825141907,2018-06-21
-385261.4462231712,2018-06-22
807849.0926361084,2018-06-25
-553776.8281326294,2018-06-26
551606.0060119629,2018-06-27
-641275.9719848633,2018-06-28
333313.90060424805,2018-06-29
-115350.24962997437,2018-07-02
-204266.1315689087,2018-07-03
561150.8931922913,2018-07-05
-445097.1193161011,2018-07-06
568038.0875396729,2018-07-09
-666299.7840232849,2018-07-10
581313.802394867,2018-07-11
-2218.1149673461914,2018-07-12
-366464.4139328003,2018-07-13
-376987.3233451843,2018-07-16
860511.6306419373,2018-07-17
-592548.564414978,2018-07-18
572927.5816345215,2018-07-19
-671276.4341621399,2018-07-20
594812.8809547424,2018-07-23
78004.2334060669,2018-07-24
-340115.08280944824,2018-07-25
-370067.27307510376,2018-07-26
398718.5859069824,2018-07-27
95782.09401321411,2018-07-30
-315978.2778729554,2018-07-31
-121693.25972747791,2018-08-01
666262.3788146971,2018-08-02
-104489.78172302246,2018-08-03
-341616.7890548706,2018-08-06
-402751.8936823043,2018-08-07
840183.642326355,2018-08-08
-566824.1933288574,2018-08-09
547506.1945648193,2018-08-10
-637646.1993293762,2018-08-13
549030.5699882507,2018-08-14
101432.2758026123,2018-08-15
-254603.19715118408,2018-08-16
-459760.69009399414,2018-08-17
632200.9821002693,2018-08-20
-450731.06900787354,2018-08-21
351726.5318069458,2018-08-22
-653703.4738082886,2018-08-23
553177.7800788879,2018-08-24
245543.34942245483,2018-08-27
-184457.62508773804,2018-08-28
-304911.71912384033,2018-08-29
364382.475856781,2018-08-30
-372402.0447616577,2018-08-31
589690.0233154297,2018-09-04
-670639.7495231628,2018-09-05
679386.1898612976,2018-09-06
-26544.748542785645,2018-09-07
-365768.80655670166,2018-09-10
-394645.8808288574,2018-09-11
450994.38956069946,2018-09-12
114777.10328292847,2018-09-13
-350570.62310509104,2018-09-14
-84682.70145875565,2018-09-17
679179.7229537966,2018-09-18
-95475.76224626182,2018-09-19
-352625.6405746802,2018-09-20
-445634.45242124563,2018-09-21
893507.3153978423,2018-09-24
-579978.6185531616,2018-09-25
578954.8928985596,2018-09-26
-670837.7070693969,2018-09-27
