account_value,date,daily_return
1000000.0,2018-01-02,
1029346.885663826,2018-01-03,0.029346885663825928
964495.7811694489,2018-01-04,-0.06300218652971845
992759.9316349259,2018-01-05,0.02930458693267357
1014243.2098164444,2018-01-08,0.02163995292007681
910516.0190488092,2018-01-09,-0.10227053014868848
825210.8561149256,2018-01-10,-0.09368881068451662
1050094.3029295388,2018-01-11,0.2725163455475603
1064428.8202545433,2018-01-12,0.013650695261381962
968428.2428371087,2018-01-16,-0.09018975772797799
1077863.6599805108,2018-01-17,0.11300312434383364
937103.6334625741,2018-01-18,-0.1305916803248398
840082.7495459481,2018-01-19,-0.10353271554196875
1189925.3419623682,2018-01-22,0.4164382527858175
778946.5934337045,2018-01-23,-0.34538196140179445
1046881.2412742692,2018-01-24,0.34397049823335335
994206.9915263444,2018-01-25,-0.0503154012806738
917221.6125230409,2018-01-26,-0.0774339545582079
1089322.7368875237,2018-01-29,0.18763308890103114
1036143.006747654,2018-01-30,-0.04881907660517382
1082461.2707184944,2018-01-31,0.04470257837885594
1086950.0861008263,2018-02-01,0.0041468600344032325
1066963.3548793031,2018-02-02,-0.01838790159465442
881647.142703602,2018-02-05,-0.17368563908801204
1002193.0884890367,2018-02-06,0.1367281080453302
1147098.345958214,2018-02-07,0.14458816283361609
652467.0354738389,2018-02-08,-0.43120218264388754
1107500.1344576036,2018-02-09,0.6974039671648813
755700.5515756761,2018-02-12,-0.3176519550078617
1122543.9906627657,2018-02-13,0.4854349230289714
723752.0440074921,2018-02-14,-0.3552572994665636
964964.7798385469,2018-02-15,0.3332809044592595
901805.3442878572,2018-02-16,-0.06545258114110364
724135.6387290803,2018-02-20,-0.19701558289065146
1108027.9857063142,2018-02-21,0.5301387287760033
772643.1007499543,2018-02-22,-0.30268629428395555
1145937.867046341,2018-02-23,0.48313997230293504
740600.2828254548,2018-02-26,-0.3537168950229782
1139038.8137016145,2018-02-27,0.5379940301346926
1012263.3951988069,2018-02-28,-0.11130034988958504
1149134.5464362947,2018-03-01,0.13521298101528845
668086.0250930635,2018-03-02,-0.41861810075683714
1148513.367549881,2018-03-05,0.7191100014251828
763660.5575599519,2018-03-06,-0.335087793371473
1122014.7310523835,2018-03-07,0.46925845514065156
728577.97870253,2018-03-08,-0.35065203821418023
1123229.950313553,2018-03-09,0.5416743068653118
1108228.5132102815,2018-03-12,-0.013355624197061156
1116880.4051704255,2018-03-13,0.007806956649293761
829788.962032303,2018-03-14,-0.2570476138797646
1180370.4165382234,2018-03-15,0.42249471919617143
1010723.6634101716,2018-03-16,-0.14372331833390894
753406.7537841646,2018-03-19,-0.2545868064054445
724595.8942603914,2018-03-20,-0.038240776816857336
1129717.6728248445,2018-03-21,0.5591002954522237
956428.9389991609,2018-03-22,-0.1533911861291657
1079821.9942207185,2018-03-23,0.1290143472140024
659855.9816093293,2018-03-26,-0.38892152119430434
1079312.0299186555,2018-03-27,0.6356781782690075
733242.9549980012,2018-03-28,-0.3206385783977007
1076507.6887245027,2018-03-29,0.4681459690634697
685696.3949241487,2018-04-02,-0.3630362308544268
1108654.3210944978,2018-04-03,0.6168297358733181
841746.7042732087,2018-04-04,-0.240749178299138
710240.8920631257,2018-04-05,-0.1562296728249496
1052765.7294807283,2018-04-06,0.482265723144478
733588.5832557527,2018-04-09,-0.3031796507874627
1093305.6178016511,2018-04-10,0.49035255285657775
705580.8183936921,2018-04-11,-0.3546353307756446
1070171.8031196443,2018-04-12,0.5167246263241267
982240.6180381624,2018-04-13,-0.0821654848550063
1119471.7299461213,2018-04-16,0.13971231629786596
672770.3172225801,2018-04-17,-0.39902875684501693
1124573.6218833772,2018-04-18,0.6715565373424792
757093.8614616243,2018-04-19,-0.326772523622168
1105138.9265937654,2018-04-20,0.4597119100400775
719156.3072013704,2018-04-23,-0.34926162684547
1059184.663242325,2018-04-24,0.4728156488875006
1034624.1718635408,2018-04-25,-0.023188110847074395
1099052.2568626252,2018-04-26,0.06227196962065773
842385.8373756256,2018-04-27,-0.233534318213116
1121647.2080650178,2018-04-30,0.331512423759883
1008297.9083289949,2018-05-01,-0.10105610651995
755634.0533904878,2018-05-02,-0.2505845275006423
704198.271091446,2018-05-03,-0.06806969864348
1099112.3154868928,2018-05-04,0.5607995086147604
1000214.1599387971,2018-05-07,-0.08998002674939098
1094908.2000923005,2018-05-08,0.09467376482582268
669892.5065917817,2018-05-09,-0.388174728680167
1124313.042766556,2018-05-10,0.6783484390454428
750054.5235404817,2018-05-11,-0.33287750385350867
1111454.6573371736,2018-05-14,0.48183181682682896
721114.3914832918,2018-05-15,-0.3511976519033716
1082981.9645728914,2018-05-16,0.5018171560066336
1050759.418041214,2018-05-17,-0.029753539380856897
1162244.9589347688,2018-05-18,0.10609996825094536
847942.5078773347,2018-05-21,-0.2704270288644671
993408.2171745149,2018-05-22,0.17155138225270283
745549.969806656,2018-05-23,-0.24950291640713995
1013052.8844337312,2018-05-24,0.35879944398153074
681320.995487198,2018-05-25,-0.3274576224438295
1149020.2960014192,2018-05-29,0.6864595449312103
1016808.2019233552,2018-05-30,-0.11506506415784035
985954.6494712678,2018-05-31,-0.030343532235210136
738758.050502762,2018-06-01,-0.2507180214638356
1021697.5445060579,2018-06-04,0.38299344935834045
743206.893054947,2018-06-05,-0.2725764126072632
1138850.0732688752,2018-06-06,0.5323459509203952
738353.3446006624,2018-06-07,-0.3516676497360669
1161393.2010230867,2018-06-08,0.5729504166480412
1085433.3557472078,2018-06-11,-0.06540407263359638
1163150.8826179353,2018-06-12,0.07160045935498927
872620.6087646333,2018-06-13,-0.24977866431171647
1184787.2762260286,2018-06-14,0.357734695153864
1057155.0550193635,2018-06-15,-0.10772585405645085
800829.9683799592,2018-06-18,-0.24246687883898854
732637.0284690706,2018-06-19,-0.08515283219088288
1119331.1472587434,2018-06-20,0.5278113223374947
993731.3265876619,2018-06-21,-0.11220970753711013
1108805.9890174714,2018-06-22,0.11580057843699088
684990.0285987703,2018-06-25,-0.3822273369881871
1104033.4472312776,2018-06-26,0.6117511221144507
715620.9774436799,2018-06-27,-0.3518122306544861
1089174.2898368684,2018-06-28,0.5219988292232356
726838.6700706331,2018-06-29,-0.33267000804848634
1052306.8356437532,2018-07-02,0.4477859791657639
861687.4919319001,2018-07-03,-0.1811442606426108
736948.1527290193,2018-07-05,-0.14476169187882226
1080937.3612174836,2018-07-06,0.46677531820200047
744746.51751326,2018-07-09,-0.31101787741480635
1128134.7937126008,2018-07-10,0.5147902906340407
752252.8300208894,2018-07-11,-0.33318887582104806
1105895.00995253,2018-07-12,0.4701108002768435
1015038.0827903596,2018-07-13,-0.08215691936802427
1145493.1596107332,2018-07-16,0.12852234712391275
712878.4307365266,2018-07-17,-0.3776667937687377
1161971.1557731477,2018-07-18,0.6299709819704191
745184.8564262239,2018-07-19,-0.35868902362692834
1132534.3398017732,2018-07-20,0.5198032139745963
755154.7562599031,2018-07-23,-0.3332169014918547
1121495.025402054,2018-07-24,0.48511946207760737
1088985.3897514192,2018-07-25,-0.028987766253336766
1148787.3620033113,2018-07-26,0.054915311825756374
892342.2658347932,2018-07-27,-0.22323112583804594
1186846.4659538118,2018-07-30,0.33003502287713293
1060218.824115738,2018-07-31,-0.10669252129112516
807411.7110137788,2018-08-01,-0.23844805180931372
766293.4724006501,2018-08-02,-0.05092598738938403
1170173.625072464,2018-08-03,0.5270567572584628
1023011.8930854646,2018-08-06,-0.12576059555084096
1170825.191089615,2018-08-07,0.14448834759714924
722212.8862304536,2018-08-08,-0.38315908153775324
1169736.1127281038,2018-08-09,0.6196555545186551
759796.8121299592,2018-08-10,-0.35045451374675285
1137947.7475318757,2018-08-13,0.4977000816071282
769619.8460655061,2018-08-14,-0.3236773413060886
1113718.7401923982,2018-08-15,0.44710241801327477
1075831.3281593171,2018-08-16,-0.03401883318093035
1200447.3357505647,2018-08-17,0.11583229111245363
913426.6213416902,2018-08-20,-0.23909479896460295
1037098.2345084993,2018-08-21,0.13539304666329244
779809.4863548127,2018-08-22,-0.24808522432363467
1035667.1452255098,2018-08-23,0.3281027781114758
737785.1931724397,2018-08-24,-0.28762325176223313
1222166.4885215608,2018-08-27,0.6565343135531163
1046717.0461158601,2018-08-28,-0.14355608998733027
1046607.7191276399,2018-08-29,-0.00010444750911997591
789797.5498237459,2018-08-30,-0.2453738536516321
1050394.2937164155,2018-08-31,0.3299538520356582
784628.6410484163,2018-09-04,-0.25301513370535356
1187631.1640128938,2018-09-05,0.513621988646741
797162.362636551,2018-09-06,-0.3287795177561571
1203455.9165000764,2018-09-07,0.5096747825872534
1097945.5383262483,2018-09-10,-0.08767282351369898
1169514.6172294465,2018-09-11,0.06518454368173954
925692.8579177705,2018-09-12,-0.20848115595962724
1242299.8270377961,2018-09-13,0.3420216180906841
1114066.521457657,2018-09-14,-0.10322250940491984
839374.198612198,2018-09-17,-0.2465672538889765
814070.5103797761,2018-09-18,-0.030145897115086973
1227560.2856254426,2018-09-19,0.5079286990174443
1077200.9511375276,2018-09-20,-0.12248631390946874
1245214.6651420442,2018-09-21,0.15597248946642095
760670.4981918184,2018-09-24,-0.3891250083333646
1222611.7214622346,2018-09-25,0.6072816342535852
809691.3923606721,2018-09-26,-0.3377362754282388
1206758.3180579988,2018-09-27,0.4903929193808887
814105.5524482576,2018-09-28,-0.3253781305950523
1158908.927631363,2018-10-01,0.423536449476581
995910.2499961702,2018-10-02,-0.14064839242229144
818034.6781425325,2018-10-03,-0.1786060258485358
1214026.8648567048,2018-10-04,0.48407750587460496
811465.7267570344,2018-10-05,-0.33159162268389
1233033.9325523225,2018-10-08,0.5195144932122466
812067.2187537996,2018-10-09,-0.34140724167026093
1172372.7958106843,2018-10-10,0.4436893507532673
1037754.9557380525,2018-10-11,-0.11482511412212093
1179311.3048591462,2018-10-12,0.1364063340178594
722368.4941482393,2018-10-15,-0.3874658106202781
1209156.130908951,2018-10-16,0.6738771703141535
784872.7813758699,2018-10-17,-0.3508921128441348
1189852.8004188386,2018-10-18,0.5159817344322286
804107.0858955232,2018-10-19,-0.3241961647588084
1165075.3384513704,2018-10-22,0.4489056978696335
1066727.501773819,2018-10-23,-0.0844132850741448
1155653.2002677766,2018-10-24,0.08336308789834934
906184.240245804,2018-10-25,-0.21586835909264834
1170680.1948509065,2018-10-26,0.291878784532114
1077097.6944236604,2018-10-29,-0.0799385697638495
827741.5690193025,2018-10-30,-0.231507435857789
798545.4019050447,2018-10-31,-0.03527208032918905
1192477.6582069246,2018-11-01,0.4933122842634845
1070011.17036055,2018-11-02,-0.10269918853701787
1170241.033855423,2018-11-05,0.0936717917263421
747986.3178977815,2018-11-06,-0.3608271319682752
1228586.0407447664,2018-11-07,0.6425247512517505
792249.205806717,2018-11-08,-0.3551536648369721
1230328.8709602205,2018-11-09,0.5529569003574117
815525.3261909334,2018-11-12,-0.33714850928073414
1135435.5693321077,2018-11-13,0.39227505617192304
1080619.36391066,2018-11-14,-0.048277689110701405
1089542.4575233308,2018-11-15,0.008257388226303064
1089893.8148383943,2018-11-16,0.0003224815266604786
1072196.5143470613,2018-11-19,-0.016237637327960353
1059219.9211006013,2018-11-20,-0.012102812378906425
1050708.0636863557,2018-11-21,-0.008035968022014894
1043222.1429099885,2018-11-23,-0.007124643880720982
1057125.5035285798,2018-11-26,0.01332732506981582
1066000.014438614,2018-11-27,0.008394945425507228
1100108.9248008577,2018-11-28,0.03199710121974664
1106426.6569480745,2018-11-29,0.005742824192032092
1124459.3654060212,2018-11-30,0.016298150758304653
1135440.8810996858,2018-12-03,0.00976604049155605
1096590.638278946,2018-12-04,-0.03421599791537622
1084850.2291755525,2018-12-06,-0.010706282448133653
928519.5159416047,2018-12-07,-0.14410349837207803
1064665.8241844026,2018-12-10,0.14662729851696543
1064404.6168861238,2018-12-11,-0.0002453420522622318
1071984.2295036165,2018-12-12,0.007120988106634307
1073678.8095664827,2018-12-13,0.0015807882394416328
1036292.0923271028,2018-12-14,-0.034821137295682925
1018990.0859794465,2018-12-17,-0.016696070997514578
1030451.1709480134,2018-12-18,0.011247494088767906
893136.7361335603,2018-12-19,-0.13325661485553364
1003209.6803169099,2018-12-20,0.12324310458873478
983593.7400779573,2018-12-21,-0.019553180779471768
953711.8892173616,2018-12-24,-0.030380277591261717
876367.8274345247,2018-12-26,-0.08109793183589986
1015445.440837845,2018-12-27,0.15869776257128865
824411.514263138,2018-12-28,-0.1881282035370455
921343.5802604905,2018-12-31,0.11757728309264426
