account_rewards,date
17951.869521736167,2018-01-02
-48568.99141836178,2018-01-03
109807.15043618775,2018-01-04
-97729.14006019616,2018-01-05
-6323.906096298131,2018-01-08
-156057.4701341783,2018-01-09
359170.56671755225,2018-01-10
-117009.01364622498,2018-01-11
20788.60861920938,2018-01-12
-23788.764320373535,2018-01-16
-38468.35316095746,2018-01-17
105661.34877460485,2018-01-18
44409.90477911383,2018-01-19
-339773.24178448494,2018-01-22
343188.5987919007,2018-01-23
-183563.13867015834,2018-01-24
128350.36769264983,2018-01-25
17736.46742113121,2018-01-26
72366.67170215584,2018-01-29
-113995.63603973389,2018-01-30
2249.180667518638,2018-01-31
-19135.927644073498,2018-02-01
-211967.7946254958,2018-02-02
109986.92962049483,2018-02-05
415936.40968704224,2018-02-06
-593068.7073478699,2018-02-07
254549.8404521942,2018-02-08
46684.553398132324,2018-02-09
-52778.41319911962,2018-02-12
-306741.47064971924,2018-02-13
348421.91937863536,2018-02-14
-150117.9476661681,2018-02-15
-195366.61186555482,2018-02-16
350360.85181427,2018-02-20
93424.2734817008,2018-02-21
-117682.63644160447,2018-02-22
-299662.56617736816,2018-02-23
360366.7554337769,2018-02-26
-132029.01700900274,2018-02-27
500216.8234825133,2018-02-28
-678365.1442222594,2018-03-01
249806.44238809973,2018-03-02
104119.27726068487,2018-03-05
-137768.66877944942,2018-03-06
-288546.37935687264,2018-03-07
373569.78078460693,2018-03-08
-125645.48677825928,2018-03-09
198310.36683273315,2018-03-12
-68108.18777268217,2018-03-13
96343.22185436264,2018-03-14
-35029.53880691528,2018-03-15
-343563.8941731072,2018-03-16
-109695.62450408936,2018-03-19
317507.4270248412,2018-03-20
-118377.07890319813,2018-03-21
498686.06423950184,2018-03-22
-632118.9175186156,2018-03-23
202043.30151367188,2018-03-26
76967.1599884032,2018-03-27
-77295.84165573108,2018-03-28
-308769.78830718994,2018-03-29
555684.5234118003,2018-04-02
-355440.7361488341,2018-04-03
-172465.36486053467,2018-04-04
326144.7392234802,2018-04-05
36575.5573120116,2018-04-06
-73034.30624299613,2018-04-09
-290713.5770593567,2018-04-10
353210.79562928784,2018-04-11
-110640.10460591898,2018-04-12
556355.8263397217,2018-04-13
-700408.4953689575,2018-04-16
233988.4079399109,2018-04-17
81040.7532157898,2018-04-18
-109546.01274705504,2018-04-19
-283682.97656847385,2018-04-20
310989.2286047172,2018-04-23
-82685.64712142933,2018-04-24
216793.0040283202,2018-04-25
-37488.56037139916,2018-04-26
19178.705413818592,2018-04-27
29617.224086761475,2018-04-30
-344674.5901031493,2018-05-01
-125087.1328201294,2018-05-02
307056.36586761475,2018-05-03
-62339.624530792236,2018-05-04
538887.9021301268,2018-05-07
-702067.4705047606,2018-05-08
258696.50505065906,2018-05-09
62293.519859313965,2018-05-10
-89871.94764715561,2018-05-11
-288262.8440322876,2018-05-14
334359.5876922606,2018-05-15
-93062.15606689441,2018-05-16
242468.29411315906,2018-05-17
-157479.0518875122,2018-05-18
-134534.86054444872,2018-05-21
195530.2314300537,2018-05-22
-93888.61327001953,2018-05-23
-230391.3161087036,2018-05-24
392154.8006210326,2018-05-25
-207755.09942626941,2018-05-29
-65095.20275115967,2018-05-30
197063.65055465687,2018-05-31
-91525.61577494419,2018-06-01
99562.2043762207,2018-06-04
-67167.35031713871,2018-06-05
-317932.32066345215,2018-06-06
351894.85792541504,2018-06-07
-76753.5863647461,2018-06-08
215470.6943206787,2018-06-11
-61746.094467163086,2018-06-12
60851.23024749756,2018-06-13
34759.68500518799,2018-06-14
-375145.0214920044,2018-06-15
-158472.51416015625,2018-06-18
314857.897026062,2018-06-19
-75987.08416748047,2018-06-20
582235.5469055176,2018-06-21
-749241.0725402832,2018-06-22
223900.0548095703,2018-06-25
77122.45300292969,2018-06-26
-87267.45515328983,2018-06-27
-278891.1840515137,2018-06-28
352729.5573272706,2018-06-29
-169732.02641296398,2018-07-02
-186203.48104858398,2018-07-03
346920.75791931164,2018-07-05
59784.145080566406,2018-07-06
-89713.3911895752,2018-07-09
-305277.0474700929,2018-07-10
355581.67333984387,2018-07-11
-95939.96702575695,2018-07-12
596046.8296661378,2018-07-13
-771029.7794799806,2018-07-16
257230.36642456066,2018-07-17
59976.64764404297,2018-07-18
-93012.75459289551,2018-07-19
-310543.23989868176,2018-07-20
370181.8910522462,2018-07-23
-89046.56414794934,2018-07-24
230610.23730468762,2018-07-25
-41532.85496520996,2018-07-26
10641.291793823242,2018-07-27
61880.859115600586,2018-07-30
-380420.50579833996,2018-07-31
-150520.92680358887,2018-08-01
343287.6034240724,2018-08-02
-81490.80529785168,2018-08-03
611820.5457916261,2018-08-06
-779507.8062438966,2018-08-07
248308.40887451184,2018-08-08
69313.16415405273,2018-08-09
-113601.98558044434,2018-08-10
-291026.5517730714,2018-08-13
336815.93757629406,2018-08-14
-84337.32525634777,2018-08-15
238822.5304412843,2018-08-16
-165865.8353729248,2018-08-17
