date,MRK,KO,MCD,MMM,MSFT,VZ,PG,TRV,UNH,V,JPM,NKE,JNJ,CVX,IBM,HON,HD,GS,DIS,CSCO,CRM,CAT,BA,AXP,AMGN,AAPL,WBA,INTC,WMT
2018-01-02,0,0,95,99,100,0,96,0,0,0,0,100,100,87,87,0,100,0,87,0,99,100,99,0,85,100,100,0,0
2018-01-03,0,0,90,94,98,0,100,0,0,0,0,100,91,98,100,0,93,0,99,0,100,92,100,0,100,100,100,0,0
2018-01-04,0,0,89,97,100,0,92,0,0,0,0,100,100,98,98,0,100,0,100,0,87,97,96,0,91,100,100,0,0
2018-01-05,0,0,100,90,100,0,94,0,0,0,0,100,100,100,100,0,98,0,98,0,100,100,91,0,99,100,100,0,0
2018-01-08,0,0,100,98,82,0,86,0,0,0,0,100,100,100,100,0,82,0,97,0,92,100,98,0,100,85,100,0,0
2018-01-09,0,0,0,100,0,0,0,0,0,0,0,100,93,0,100,0,100,0,100,0,100,0,100,0,99,0,0,0,0
2018-01-10,0,95,100,95,-95,100,-100,100,98,0,0,-100,97,100,-100,0,98,0,100,0,-100,-96,-100,0,100,-94,75,0,0
2018-01-11,100,0,97,100,100,0,-100,-100,100,0,63,-100,-88,100,100,0,100,0,100,0,-99,-100,-98,100,100,-100,-89,0,0
2018-01-12,-96,100,100,96,100,83,-100,100,0,0,-63,-86,-99,100,83,0,64,0,98,0,-93,-89,-93,-84,86,-99,0,0,0
2018-01-16,-4,100,0,0,-100,-100,0,100,0,0,0,0,-93,100,100,0,0,0,82,0,0,-100,-100,-16,0,-100,0,0,0
2018-01-17,0,0,100,100,-100,-83,-51,0,2,0,0,-94,-91,100,100,0,100,0,0,0,44,-93,-100,0,0,-92,0,0,0
2018-01-18,0,99,0,100,-69,0,-100,-100,100,0,0,-100,0,100,98,0,100,0,0,0,-100,-11,-81,0,0,0,42,0,100
2018-01-19,0,100,98,1,-100,0,-17,0,0,0,0,-100,100,0,0,0,0,0,0,0,-100,0,-12,0,0,0,100,0,-99
2018-01-22,0,100,0,100,0,100,0,-86,0,0,1,-20,-100,49,100,0,100,0,0,0,-100,0,0,0,0,0,-99,0,-1
2018-01-23,0,35,0,0,-100,0,0,0,0,0,-1,0,0,0,0,0,100,0,0,0,-30,0,0,0,1,0,0,0,100
2018-01-24,0,0,100,0,1,100,0,-14,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,0,0,75,0,-99,0,-100
2018-01-25,0,12,0,0,-83,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2018-01-26,0,0,0,1,-34,0,0,0,0,0,0,0,-77,100,100,0,0,0,0,0,0,0,0,0,0,0,39,0,0
2018-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
