account_rewards,date
26958.837587661576,2018-01-02
-95833.57249032194,2018-01-03
122756.69419634994,2018-01-04
-14495.812231246848,2018-01-05
2584.3770592651563,2018-01-08
-84102.87825431058,2018-01-09
133478.62398293684,2018-01-10
-195033.39498661808,2018-01-11
289509.0762319451,2018-01-12
-85378.04620732879,2018-01-16
87249.13565451046,2018-01-17
-260357.73585490417,2018-01-18
405098.5463702164,2018-01-19
-347225.6487708549,2018-01-22
305068.5354844016,2018-01-23
-31102.590055755572,2018-01-24
-419380.8941269303,2018-01-25
348730.1824122353,2018-01-26
-205110.97741223907,2018-01-29
15372.807578559848,2018-01-30
4233.961501651676,2018-01-31
-26859.51800384512,2018-02-01
158075.32448837277,2018-02-02
23065.883077598643,2018-02-05
-279509.46029042057,2018-02-06
-115689.41416680138,2018-02-07
629085.141040657,2018-02-08
-478464.0775599136,2018-02-09
507862.52673077385,2018-02-12
-503304.85647201526,2018-02-13
154949.15598340228,2018-02-14
115531.21715927124,2018-02-15
-262714.49098968506,2018-02-16
455305.6572418213,2018-02-20
-448749.26792907715,2018-02-21
521751.7593154907,2018-02-22
-501675.79752349854,2018-02-23
463110.96118927,2018-02-26
-204423.92681121826,2018-02-27
-311629.5207939148,2018-02-28
-106866.27810878376,2018-03-01
649804.3245429993,2018-03-02
-511927.3829574585,2018-03-05
507377.8842315674,2018-03-06
-502221.35986328125,2018-03-07
469322.95261383057,2018-03-08
-88372.84887695312,2018-03-09
-399016.03217697144,2018-03-12
-299463.2648733597,2018-03-13
457966.7070503236,2018-03-14
33902.85305404663,2018-03-15
-47624.012048076605,2018-03-16
-131344.2603607179,2018-03-19
501977.9764078903,2018-03-20
-281067.4145011902,2018-03-21
-285278.55746073916,2018-03-22
-83417.37475360103,2018-03-23
592995.8951873779,2018-03-26
-480986.91342163086,2018-03-27
492278.2886276245,2018-03-28
-506300.7575073242,2018-03-29
206215.8982849121,2018-04-02
16223.109321594238,2018-04-03
-191939.36791992188,2018-04-04
418421.194480896,2018-04-05
-426220.9760055542,2018-04-06
509699.99953460693,2018-04-09
-513560.5668029785,2018-04-10
446045.3645248413,2018-04-11
-160080.90282058716,2018-04-12
-269196.87635421753,2018-04-13
-120781.91926574707,2018-04-16
629659.7954330444,2018-04-17
-500452.28063201904,2018-04-18
489224.4080886841,2018-04-19
-498761.5320968628,2018-04-20
404994.6069030762,2018-04-23
-66908.86126327515,2018-04-24
-321404.4995880127,2018-04-25
-298093.33292388916,2018-04-26
412056.89922714233,2018-04-27
62250.251445770264,2018-04-30
-93898.64458847046,2018-05-01
-138699.13918304443,2018-05-02
510284.14588165283,2018-05-03
-168703.3981628418,2018-05-04
-327927.9625778198,2018-05-07
-104454.66739654541,2018-05-08
621577.9373321533,2018-05-09
-478983.4425048828,2018-05-10
489426.2314834595,2018-05-11
-515850.62785339355,2018-05-14
448758.0381088257,2018-05-15
-70839.70819473267,2018-05-16
-276997.1428833008,2018-05-17
-328581.40967559814,2018-05-18
676310.7244758606,2018-05-21
-424094.417427063,2018-05-22
385842.8095397949,2018-05-23
-522037.07456207275,2018-05-24
248082.64332580566,2018-05-25
209322.28484344482,2018-05-29
-13949.903923034668,2018-05-30
-318145.22020721436,2018-05-31
401832.77473449707,2018-06-01
-396090.4434738159,2018-06-04
524128.6889190674,2018-06-05
-534071.4477615356,2018-06-06
550446.0442504883,2018-06-07
-127716.16261672974,2018-06-08
-345588.8211898804,2018-06-11
-327251.81171035767,2018-06-12
410299.4342880249,2018-06-13
103591.19083404541,2018-06-14
-90659.22595214844,2018-06-15
-181873.05165863037,2018-06-18
510040.08738708496,2018-06-19
-171450.19428253174,2018-06-20
-349246.9094429016,2018-06-21
-116096.37800979614,2018-06-22
613749.0023574829,2018-06-25
-503934.391456604,2018-06-26
497514.05210876465,2018-06-27
-493360.3355331421,2018-06-28
246185.88208770752,2018-06-29
-38908.53868103027,2018-07-02
-197305.5940246582,2018-07-03
441183.98680114746,2018-07-05
-416594.9072265625,2018-07-06
506682.9171218872,2018-07-09
-516735.27544403076,2018-07-10
454946.2081298828,2018-07-11
-99229.78674316406,2018-07-12
-360516.30462265015,2018-07-13
-102182.28643417358,2018-07-16
644714.978843689,2018-07-17
-520450.669960022,2018-07-18
505336.6476211548,2018-07-19
-515028.16581726074,2018-07-20
462751.0164642334,2018-07-23
-39642.1569442749,2018-07-24
-371231.3263092041,2018-07-25
-292215.5440673828,2018-07-26
407386.81703186035,2018-07-27
94748.01822280884,2018-07-30
-90873.26971817017,2018-07-31
-151648.79724884033,2018-08-01
513279.08449554443,2018-08-02
-172324.53115463257,2018-08-03
-339590.22860336304,2018-08-06
-121253.32800292969,2018-08-07
632788.5421981812,2018-08-08
-507377.3508300781,2018-08-09
489009.57817077637,2018-08-10
-497116.17531585693,2018-08-13
437841.1452636719,2018-08-14
-33564.971172332764,2018-08-15
-306021.29524230957,2018-08-16
-297305.71912765503,2018-08-17
668430.3946380615,2018-08-20
-439198.9683074951,2018-08-21
351560.6103744507,2018-08-22
-494539.5484313965,2018-08-23
306458.49800109863,2018-08-24
177148.54318237305,2018-08-27
-11029.189758300781,2018-08-28
-318002.6923751831,2018-08-29
359302.1884918213,2018-08-30
-366244.8162536621,2018-08-31
511977.3860244751,2018-09-04
-507740.1619567871,2018-09-05
515455.2156982422,2018-09-06
-139572.0012588501,2018-09-07
-356334.01483917236,2018-09-10
-298051.4841156006,2018-09-11
437130.4394302368,2018-09-12
80175.13735580444,2018-09-13
-107313.482837677,2018-09-14
-118617.20375823975,2018-09-17
519313.6443862915,2018-09-18
-175207.73099899292,2018-09-19
-336183.89096832275,2018-09-20
-150724.72053146362,2018-09-21
666918.8118438721,2018-09-24
-517158.2188644409,2018-09-25
517573.61431884766,2018-09-26
-524052.4196624756,2018-09-27
223659.960105896,2018-09-28
33703.43035888672,2018-10-01
-249277.33493041992,2018-10-02
485364.85807800293,2018-10-03
-497176.61794281006,2018-10-04
562516.7518386841,2018-10-05
-560956.0619354248,2018-10-08
451940.1667175293,2018-10-09
-142483.54314422607,2018-10-10
-364553.4773864746,2018-10-11
-131791.49433135986,2018-10-12
703136.811630249,2018-10-15
-536696.3134307861,2018-10-16
527185.6772689819,2018-10-17
-522308.9935455322,2018-10-18
455056.7559814453,2018-10-19
-90911.05531311035,2018-10-22
-364624.53757476807,2018-10-23
-283320.9249649048,2018-10-24
385983.6558685303,2018-10-25
107285.22505569458,2018-10-26
-104224.51578903198,2018-10-29
-122763.23861694336,2018-10-30
539414.7966995239,2018-10-31
-163255.90753936768,2018-11-01
-384147.91801834106,2018-11-02
-126638.18120956421,2018-11-05
728559.8307037354,2018-11-06
-569439.2749328613,2018-11-07
574135.6143035889,2018-11-08
-572452.4185409546,2018-11-09
430631.350692749,2018-11-12
-377536.6582145691,2018-11-13
9830.328105926514,2018-11-14
10528.818359375,2018-11-15
-13581.337284088135,2018-11-16
-22282.557640075684,2018-11-19
-3625.9196166992188,2018-11-20
-3865.611015319824,2018-11-21
16982.747829437256,2018-11-23
9617.77133178711,2018-11-26
30217.04433441162,2018-11-27
-3485.4166870117188,2018-11-28
6369.5942459106445,2018-11-29
7406.880836486816,2018-11-30
-29459.56329345703,2018-12-03
-1868.8622360229492,2018-12-04
93981.5235786438,2018-12-06
-117029.66691207886,2018-12-07
2190.4141006469727,2018-12-10
6443.480422973633,2018-12-11
3758.2941970825195,2018-12-12
-38767.7850189209,2018-12-13
-25356.720390319824,2018-12-14
611.3019065856934,2018-12-17
130290.43882369995,2018-12-18
-153377.9011077881,2018-12-19
-17910.87957382202,2018-12-20
-28454.034713745117,2018-12-21
180636.9066696167,2018-12-24
-128353.12333679199,2018-12-26
-114826.78897094727,2018-12-27
273023.68466567993,2018-12-28
