account_rewards,date
7340.507538959384,2018-01-02
-21884.231178130955,2018-01-03
50047.14478541585,2018-01-04
1527.5967392274179,2018-01-05
-24419.753926826525,2018-01-08
-121662.60224246222,2018-01-09
195198.11832571425,2018-01-10
-118891.28871206287,2018-01-11
57425.99411844637,2018-01-12
22157.12952645868,2018-01-16
85175.75231457909,2018-01-17
-180618.93403091433,2018-01-18
419073.20376760873,2018-01-19
-416091.1673564683,2018-01-22
293683.2823567963,2018-01-23
-105503.97483518999,2018-01-24
-196642.8729088439,2018-01-25
67638.45097791299,2018-01-26
-7656.726022979827,2018-01-29
23678.582811428118,2018-01-30
1518.3894239120418,2018-01-31
-18876.066377643612,2018-02-01
112778.66349411022,2018-02-02
108859.34514683136,2018-02-05
-188265.65871047962,2018-02-06
-214885.2396850586,2018-02-07
599979.359679802,2018-02-08
-530378.0920709764,2018-02-09
559703.7503967286,2018-02-12
-557958.367969349,2018-02-13
-19200.649767127936,2018-02-14
304677.21952534106,2018-02-15
-309703.30624752806,2018-02-16
623943.9048013535,2018-02-20
-553595.0980807267,2018-02-21
607916.6337814332,2018-02-22
-653876.4956621476,2018-02-23
647470.5389935952,2018-02-26
-229720.1532343789,2018-02-27
-261496.11285405722,2018-02-28
-276448.63487315376,2018-03-01
799247.3207236252,2018-03-02
-600617.8139425582,2018-03-05
576525.6164962616,2018-03-06
-671644.0220407334,2018-03-07
683432.8487072946,2018-03-08
-71883.71139367693,2018-03-09
-471193.9493484496,2018-03-12
-94503.59393515019,2018-03-13
165868.5550034294,2018-03-14
285135.39104280854,2018-03-15
-335907.1185738372,2018-03-16
-149400.93157196045,2018-03-19
708003.2045614165,2018-03-20
-292371.5946076126,2018-03-21
-313441.0558395386,2018-03-22
-260662.1609556427,2018-03-23
809598.6096466751,2018-03-26
-590619.4198849334,2018-03-27
592900.8288235322,2018-03-28
-689586.1383593293,2018-03-29
244765.56420603942,2018-04-02
59625.60078430176,2018-04-03
-273934.98903274536,2018-04-04
631704.0275681305,2018-04-05
-541960.1507268257,2018-04-06
621780.2710266113,2018-04-09
-717635.1353276825,2018-04-10
667415.3016191405,2018-04-11
-157947.90784454346,2018-04-12
-328863.46212616353,2018-04-13
-322782.3802317886,2018-04-16
910036.4817262192,2018-04-17
-639153.7993607483,2018-04-18
610931.4777792284,2018-04-19
-705703.0246658326,2018-04-20
609275.3787188187,2018-04-23
-53776.75373224635,2018-04-24
-426042.98430633545,2018-04-25
-99041.0765991211,2018-04-26
94261.83367156982,2018-04-27
393564.21800994873,2018-04-30
-390450.8706588745,2018-05-01
-151602.1854980545,2018-05-02
702014.0381126403,2018-05-03
-169077.32340240479,2018-05-04
-390436.46458435047,2018-05-07
-287081.29281049734,2018-05-08
