account_rewards,date
6464.167510887259,2018-01-02
-49245.5958627318,2018-01-03
54638.69278063974,2018-01-04
-27903.85750405118,2018-01-05
40128.66703443916,2018-01-08
-122548.47462195216,2018-01-09
163766.3668380623,2018-01-10
-158209.38747914124,2018-01-11
134203.31307631684,2018-01-12
-30318.634669258143,2018-01-16
63185.557375709526,2018-01-17
-136954.21739647666,2018-01-18
317590.91293483356,2018-01-19
-362944.81847488414,2018-01-22
241626.37802255247,2018-01-23
11072.118929130724,2018-01-24
-251591.73478174978,2018-01-25
301496.3650206069,2018-01-26
-214677.17996479024,2018-01-29
53525.28171593475,2018-01-30
3161.6280142212054,2018-01-31
-20175.66158203897,2018-02-01
63982.043719627545,2018-02-02
164139.8624147873,2018-02-05
-184136.32764967345,2018-02-06
-307942.0624631082,2018-02-07
655758.2637351761,2018-02-08
-415961.358768463,2018-02-09
455172.11483074946,2018-02-12
-539489.2096939087,2018-02-13
-32996.10816192627,2018-02-14
288553.23669052124,2018-02-15
-262981.0775527954,2018-02-16
523582.4054298401,2018-02-20
-409263.18104171753,2018-02-21
464580.5989277344,2018-02-22
-554035.9937510529,2018-02-23
541028.5269914855,2018-02-26
-148764.89377975464,2018-02-27
-240566.39306640625,2018-02-28
-316802.1221841925,2018-03-01
737142.7463895874,2018-03-02
-469699.87576293945,2018-03-05
441563.89237594604,2018-03-06
-557637.5755233765,2018-03-07
558905.4941253662,2018-03-08
-7585.47550201416,2018-03-09
-385089.0035209656,2018-03-12
-103911.88012434007,2018-03-13
192574.10017224122,2018-03-14
214536.61220986163,2018-03-15
-345137.3013594855,2018-03-16
-98533.79727464297,2018-03-19
603155.572467804,2018-03-20
-227464.70819091797,2018-03-21
-271026.2122116089,2018-03-22
-283234.47068479925,2018-03-23
722430.7224426271,2018-03-26
-463025.78718566906,2018-03-27
458511.8472976686,2018-03-28
-575893.8456573487,2018-03-29
163288.7477874757,2018-04-02
87700.59203115827,2018-04-03
-217810.6941833495,2018-04-04
496187.4628295897,2018-04-05
-401110.9033050536,2018-04-06
470418.3286895751,2018-04-09
-573851.0695190429,2018-04-10
533997.4062118529,2018-04-11
-97918.97649383545,2018-04-12
-272564.3233947754,2018-04-13
-308861.26761627186,2018-04-16
766163.8358459471,2018-04-17
-490856.0329170227,2018-04-18
459680.64918136597,2018-04-19
-563430.8934555053,2018-04-20
481682.6425323485,2018-04-23
-10056.101768493652,2018-04-24
-366107.0774078369,2018-04-25
-69364.25241073593,2018-04-26
89849.80958557129,2018-04-27
309908.18882751465,2018-04-30
-366771.15224838257,2018-05-01
-97660.899684906,2018-05-02
568372.0698928833,2018-05-03
-112929.60599517822,2018-05-04
-314837.29484558105,2018-05-07
-278139.3107872009,2018-05-08
744263.7491569519,2018-05-09
-477913.9324798584,2018-05-10
464520.61589050293,2018-05-11
-566630.5025939941,2018-05-14
515767.6382827759,2018-05-15
-12131.355697631836,2018-05-16
-309595.16452789307,2018-05-17
-28317.123543933965,2018-05-18
255945.42222595215,2018-05-21
-329021.71363528434,2018-05-22
323691.62434768665,2018-05-23
-572764.4953918456,2018-05-24
296848.6385498046,2018-05-25
316468.0823135376,2018-05-29
-45723.47129821777,2018-05-30
-320028.65895843494,2018-05-31
330537.68056488025,2018-06-01
-320789.9581336975,2018-06-04
498996.6429710388,2018-06-05
-587343.1517944335,2018-06-06
615975.6142654418,2018-06-07
-71756.89394378662,2018-06-08
-383655.3816719055,2018-06-11
-48283.58901251224,2018-06-12
122710.68748300173,2018-06-13
322659.989991684,2018-06-14
-384956.60121334833,2018-06-15
-154991.62410829926,2018-06-18
616326.1623191835,2018-06-19
-164838.52570182434,2018-06-20
-325031.87355804443,2018-06-21
-320515.3567983245,2018-06-22
775295.3966445923,2018-06-25
-507521.9152183533,2018-06-26
490255.52952194214,2018-06-27
-580579.2109680176,2018-06-28
87013.43871307373,2018-06-29
157511.1986541748,2018-07-02
-233573.2155227661,2018-07-03
534953.3905639648,2018-07-05
-406506.4814376831,2018-07-06
498114.52255249023,2018-07-09
-611566.6639633179,2018-07-10
555671.795753479,2018-07-11
-91288.9031829834,2018-07-12
-310870.70695877075,2018-07-13
