account_rewards,date
16535.54219467938,2018-01-02
-70709.31341489404,2018-01-03
65351.72576469416,2018-01-04
-67464.20495122159,2018-01-05
33199.012957397616,2018-01-08
-154525.6158228761,2018-01-09
271780.74480638513,2018-01-10
-128316.40538656246,2018-01-11
-25690.744812164223,2018-01-12
41935.648834228516,2018-01-16
41909.735943756066,2018-01-17
-192387.9958229065,2018-01-18
401807.6453150634,2018-01-19
-415541.1955935821,2018-01-22
284117.0458236466,2018-01-23
-105758.83451940154,2018-01-24
-108526.1378742829,2018-01-25
93175.85457992554,2018-01-26
-14827.89797038259,2018-01-29
45474.854817359825,2018-01-30
2470.9421949845273,2018-01-31
-18607.668563873274,2018-02-01
-114893.20715955738,2018-02-02
115645.1566600647,2018-02-05
67370.10487778473,2018-02-06
-393367.47855106357,2018-02-07
423675.70952224743,2018-02-08
-338892.995173668,2018-02-09
362148.66219711304,2018-02-12
-366463.0562362671,2018-02-13
121766.5094871521,2018-02-14
28437.994583129883,2018-02-15
-152412.7760848999,2018-02-16
351257.6096763611,2018-02-20
-324160.9623030701,2018-02-21
372446.1567256241,2018-02-22
-383182.4760284424,2018-02-23
367161.9572944641,2018-02-26
-120353.35863876343,2018-02-27
16052.196578979492,2018-02-28
-360321.42416381836,2018-03-01
472070.2035102844,2018-03-02
-359627.5149967193,2018-03-05
338551.8917388916,2018-03-06
-388324.0401455689,2018-03-07
382772.1798615648,2018-03-08
1604.2014083862305,2018-03-09
-128990.4112930299,2018-03-12
-186950.83422851562,2018-03-13
234547.85397720337,2018-03-14
-16722.89875793457,2018-03-15
-262433.0039367676,2018-03-16
-24472.04381942749,2018-03-19
400029.32195281994,2018-03-20
-169464.527370453,2018-03-21
-24490.814220428467,2018-03-22
-281006.75620269775,2018-03-23
422516.9654617311,2018-03-26
-336820.8285134202,2018-03-27
334296.38010025024,2018-03-28
-394738.25430696865,2018-03-29
231293.34368515015,2018-04-02
-81653.45657348633,2018-04-03
-125605.82905197144,2018-04-04
330113.68992614746,2018-04-05
-293221.6549786988,2018-04-06
350068.5180091859,2018-04-09
-404945.8866004945,2018-04-10
368098.99551391613,2018-04-11
-68032.37855148327,2018-04-12
-85739.79560852051,2018-04-13
-264428.14417266846,2018-04-16
486628.83255767834,2018-04-17
-363727.8235549928,2018-04-18
340611.63264846813,2018-04-19
-396733.2801971437,2018-04-20
331065.58767700195,2018-04-23
-4484.831431285827,2018-04-24
-159489.28990234376,2018-04-25
-103211.6532058717,2018-04-26
111352.51288604748,2018-04-27
120186.966796875,2018-04-30
-272620.03813171387,2018-05-01
-49324.00398635864,2018-05-02
405164.8266487123,2018-05-03
-86090.97907257092,2018-05-04
-136163.4514312744,2018-05-07
-231458.77656173706,2018-05-08
480523.3561973573,2018-05-09
-351782.52173614514,2018-05-10
343600.5125808717,2018-05-11
-404335.90757751476,2018-05-14
361965.09288024914,2018-05-15
-6399.35319519043,2018-05-16
-116057.22456359875,2018-05-17
-138719.0231437683,2018-05-18
186051.05703353882,2018-05-21
-234087.07684326172,2018-05-22
236498.59424591064,2018-05-23
-351465.8779640198,2018-05-24
253908.82849884033,2018-05-25
125449.17929458618,2018-05-29
-36406.98217010498,2018-05-30
-228424.96863555908,2018-05-31
242896.22380065918,2018-06-01
-235879.66436767578,2018-06-04
368066.5914382936,2018-06-05
-418288.25216674816,2018-06-06
437101.76333618176,2018-06-07
-56924.40315246582,2018-06-08
-163671.71804046643,2018-06-11
-123254.14196777344,2018-06-12
126008.22408676147,2018-06-13
123599.88230514526,2018-06-14
-278912.45278549194,2018-06-15
-83209.69982910156,2018-06-18
412005.65649795544,2018-06-19
-116227.66404724133,2018-06-20
-102465.55438232422,2018-06-21
-266837.9206390381,2018-06-22
464263.21174621594,2018-06-25
-343550.7232513429,2018-06-26
331966.9118881227,2018-06-27
-390924.852005005,2018-06-28
163573.9778289795,2018-06-29
-14462.35534286499,2018-07-02
-140571.49641418457,2018-07-03
358084.36392593384,2018-07-05
-273799.45558166504,2018-07-06
336938.6859588624,2018-07-09
-410874.3913078309,2018-07-10
371668.9633674623,2018-07-11
-67922.98505401623,2018-07-12
-86021.05946350098,2018-07-13
-277347.6250267029,2018-07-16
496088.0648841859,2018-07-17
-356906.2000427247,2018-07-18
330521.8074874879,2018-07-19
-404428.4135589601,2018-07-20
378588.121536255,2018-07-23
-1922.2615585327148,2018-07-24
-146898.98925018322,2018-07-25
-131688.70919036865,2018-07-26
144288.81020736694,2018-07-27
100685.50680160522,2018-07-30
-277433.4457321167,2018-07-31
-57191.28112411499,2018-08-01
433021.2239341737,2018-08-02
-137121.5169143678,2018-08-03
-64929.08067321777,2018-08-06
-296838.4014968872,2018-08-07
496393.7021408082,2018-08-08
-352069.93186950695,2018-08-09
322127.8973083497,2018-08-10
-400798.13248825085,2018-08-13
361559.7659568788,2018-08-14
-9401.565719604492,2018-08-15
-62822.43885040295,2018-08-16
-171347.7240638733,2018-08-17
183071.12371444702,2018-08-20
-205701.4901123047,2018-08-21
180343.1346130371,2018-08-22
-331089.4984512329,2018-08-23
333316.13400650024,2018-08-24
37770.091594696045,2018-08-27
-4753.777805328369,2018-08-28
-201161.59938430786,2018-08-29
182708.36152648926,2018-08-30
-187454.44473266602,2018-08-31
345472.1964721681,2018-09-04
-418154.0583763124,2018-09-05
432398.9849662782,2018-09-06
-87240.8023147583,2018-09-07
-117346.51709747326,2018-09-10
-145957.03230285645,2018-09-11
188933.6010169983,2018-09-12
74807.5729789735,2018-09-13
-294193.9902496339,2018-09-14
-32962.4895324707,2018-09-17
442284.177886963,2018-09-18
-141743.54109191895,2018-09-19
-58557.338714599726,2018-09-20
-321646.30277633667,2018-09-21
517823.97050857556,2018-09-24
-356105.8584289552,2018-09-25
342957.7304916383,2018-09-26
-426197.6489830018,2018-09-27
152804.52587509155,2018-09-28
46106.75381851196,2018-10-01
-189570.72200012207,2018-10-02
407991.0079994203,2018-10-03
-335736.67125701916,2018-10-04
368962.3007049562,2018-10-05
-454063.7794685365,2018-10-08
375905.70643234265,2018-10-09
-111283.73805236828,2018-10-10
-77440.7749710083,2018-10-11
-299358.3859062195,2018-10-12
536682.6275444032,2018-10-15
-367932.941886902,2018-10-16
346382.98305511486,2018-10-17
-422809.41822433483,2018-10-18
376703.78538131726,2018-10-19
-80329.80516052258,2018-10-22
-97835.07189941406,2018-10-23
-145463.31266021729,2018-10-24
134705.95209503174,2018-10-25
114924.13529205322,2018-10-26
-274797.9667701721,2018-10-29
-34244.21545791626,2018-10-30
419625.3878326417,2018-10-31
-109902.4757537843,2018-11-01
-113647.84976959229,2018-11-02
-264716.6851348877,2018-11-05
529457.6257400514,2018-11-06
-377310.1433181764,2018-11-07
370720.17389678967,2018-11-08
-432827.2422256471,2018-11-09
321528.22221374523,2018-11-12
-213706.72095489514,2018-11-13
14087.054008483887,2018-11-14
6155.341812133789,2018-11-15
-13907.032203674316,2018-11-16
-9541.83536529541,2018-11-19
-5981.223350524902,2018-11-20
-3603.8222045898438,2018-11-21
13580.154769897461,2018-11-23
8542.848403930664,2018-11-26
31617.758911132812,2018-11-27
-3615.651611328125,2018-11-28
15782.157623291016,2018-11-29
-1145.3214569091797,2018-11-30
-24005.330589294434,2018-12-03
2129.516067504883,2018-12-04
-2081.3571014404297,2018-12-06
-16003.393600463867,2018-12-07
3906.400276184082,2018-12-10
6093.513000488281,2018-12-11
4011.0863723754883,2018-12-12
-38082.30372619629,2018-12-13
-21316.450645446777,2018-12-14
1734.0647506713867,2018-12-17
31203.669723510742,2018-12-18
-47862.45908355713,2018-12-19
-15396.012016296387,2018-12-20
-21472.60214996338,2018-12-21
76058.27391815186,2018-12-24
-24811.126007080078,2018-12-26
-73163.68132019043,2018-12-27
183019.263381958,2018-12-28
