,date,actions
0,2018-01-02,[100]
1,2018-01-03,[100]
2,2018-01-04,[100]
3,2018-01-05,[90]
4,2018-01-08,[100]
5,2018-01-09,[95]
6,2018-01-10,[100]
7,2018-01-11,[91]
8,2018-01-12,[100]
9,2018-01-16,[100]
10,2018-01-17,[100]
11,2018-01-18,[93]
12,2018-01-19,[100]
13,2018-01-22,[100]
14,2018-01-23,[96]
15,2018-01-24,[100]
16,2018-01-25,[100]
17,2018-01-26,[91]
18,2018-01-29,[93]
19,2018-01-30,[94]
20,2018-01-31,[100]
21,2018-02-01,[99]
22,2018-02-02,[100]
23,2018-02-05,[100]
24,2018-02-06,[100]
25,2018-02-07,[91]
26,2018-02-08,[100]
27,2018-02-09,[100]
28,2018-02-12,[100]
29,2018-02-13,[75]
30,2018-02-14,[94]
31,2018-02-15,[87]
32,2018-02-16,[100]
33,2018-02-20,[88]
34,2018-02-21,[97]
35,2018-02-22,[91]
36,2018-02-23,[98]
37,2018-02-26,[86]
38,2018-02-27,[92]
39,2018-02-28,[88]
40,2018-03-01,[100]
41,2018-03-02,[100]
42,2018-03-05,[100]
43,2018-03-06,[87]
44,2018-03-07,[100]
45,2018-03-08,[97]
46,2018-03-09,[95]
47,2018-03-12,[93]
48,2018-03-13,[99]
49,2018-03-14,[100]
50,2018-03-15,[87]
51,2018-03-16,[99]
52,2018-03-19,[100]
53,2018-03-20,[100]
54,2018-03-21,[90]
55,2018-03-22,[96]
56,2018-03-23,[87]
57,2018-03-26,[94]
58,2018-03-27,[100]
59,2018-03-28,[100]
60,2018-03-29,[93]
61,2018-04-02,[81]
62,2018-04-03,[100]
63,2018-04-04,[100]
64,2018-04-05,[100]
65,2018-04-06,[100]
66,2018-04-09,[95]
67,2018-04-10,[100]
68,2018-04-11,[83]
69,2018-04-12,[100]
70,2018-04-13,[94]
71,2018-04-16,[92]
72,2018-04-17,[100]
73,2018-04-18,[84]
74,2018-04-19,[94]
75,2018-04-20,[96]
76,2018-04-23,[96]
77,2018-04-24,[100]
78,2018-04-25,[100]
79,2018-04-26,[100]
80,2018-04-27,[100]
81,2018-04-30,[100]
82,2018-05-01,[100]
83,2018-05-02,[100]
84,2018-05-03,[97]
85,2018-05-04,[100]
86,2018-05-07,[92]
87,2018-05-08,[83]
88,2018-05-09,[90]
89,2018-05-10,[93]
90,2018-05-11,[100]
91,2018-05-14,[100]
92,2018-05-15,[85]
93,2018-05-16,[100]
94,2018-05-17,[91]
95,2018-05-18,[97]
96,2018-05-21,[94]
97,2018-05-22,[95]
98,2018-05-23,[100]
99,2018-05-24,[100]
100,2018-05-25,[100]
101,2018-05-29,[100]
102,2018-05-30,[100]
103,2018-05-31,[100]
104,2018-06-01,[100]
105,2018-06-04,[100]
106,2018-06-05,[92]
107,2018-06-06,[84]
108,2018-06-07,[91]
109,2018-06-08,[100]
110,2018-06-11,[96]
111,2018-06-12,[100]
112,2018-06-13,[94]
113,2018-06-14,[88]
114,2018-06-15,[100]
115,2018-06-18,[87]
116,2018-06-19,[95]
117,2018-06-20,[98]
118,2018-06-21,[100]
119,2018-06-22,[100]
120,2018-06-25,[85]
121,2018-06-26,[89]
122,2018-06-27,[94]
123,2018-06-28,[100]
124,2018-06-29,[92]
125,2018-07-02,[100]
126,2018-07-03,[96]
127,2018-07-05,[87]
128,2018-07-06,[88]
129,2018-07-09,[82]
130,2018-07-10,[98]
131,2018-07-11,[100]
132,2018-07-12,[100]
133,2018-07-13,[100]
134,2018-07-16,[100]
135,2018-07-17,[82]
136,2018-07-18,[100]
137,2018-07-19,[90]
138,2018-07-20,[100]
139,2018-07-23,[100]
140,2018-07-24,[100]
141,2018-07-25,[83]
142,2018-07-26,[94]
143,2018-07-27,[100]
144,2018-07-30,[75]
145,2018-07-31,[96]
146,2018-08-01,[91]
147,2018-08-02,[85]
148,2018-08-03,[100]
149,2018-08-06,[100]
150,2018-08-07,[98]
151,2018-08-08,[100]
152,2018-08-09,[97]
153,2018-08-10,[100]
154,2018-08-13,[96]
155,2018-08-14,[100]
156,2018-08-15,[78]
157,2018-08-16,[91]
158,2018-08-17,[100]
159,2018-08-20,[87]
160,2018-08-21,[100]
161,2018-08-22,[84]
162,2018-08-23,[100]
163,2018-08-24,[100]
164,2018-08-27,[84]
165,2018-08-28,[100]
166,2018-08-29,[97]
167,2018-08-30,[96]
168,2018-08-31,[100]
169,2018-09-04,[92]
170,2018-09-05,[100]
171,2018-09-06,[97]
172,2018-09-07,[100]
173,2018-09-10,[80]
174,2018-09-11,[93]
175,2018-09-12,[96]
176,2018-09-13,[100]
177,2018-09-14,[100]
178,2018-09-17,[97]
179,2018-09-18,[100]
180,2018-09-19,[99]
181,2018-09-20,[96]
182,2018-09-21,[95]
183,2018-09-24,[100]
184,2018-09-25,[100]
185,2018-09-26,[97]
186,2018-09-27,[100]
187,2018-09-28,[94]
188,2018-10-01,[100]
189,2018-10-02,[100]
190,2018-10-03,[100]
191,2018-10-04,[100]
192,2018-10-05,[100]
193,2018-10-08,[100]
194,2018-10-09,[93]
195,2018-10-10,[100]
196,2018-10-11,[98]
197,2018-10-12,[100]
198,2018-10-15,[100]
199,2018-10-16,[91]
200,2018-10-17,[93]
201,2018-10-18,[100]
202,2018-10-19,[100]
203,2018-10-22,[99]
204,2018-10-23,[100]
205,2018-10-24,[88]
206,2018-10-25,[89]
207,2018-10-26,[93]
208,2018-10-29,[100]
209,2018-10-30,[100]
210,2018-10-31,[100]
211,2018-11-01,[85]
212,2018-11-02,[100]
213,2018-11-05,[93]
214,2018-11-06,[90]
215,2018-11-07,[92]
216,2018-11-08,[100]
217,2018-11-09,[100]
218,2018-11-12,[98]
219,2018-11-13,[89]
220,2018-11-14,[100]
221,2018-11-15,[98]
222,2018-11-16,[100]
223,2018-11-19,[86]
224,2018-11-20,[100]
225,2018-11-21,[100]
226,2018-11-23,[93]
227,2018-11-26,[90]
228,2018-11-27,[25]
229,2018-11-28,[0]
230,2018-11-29,[0]
231,2018-11-30,[0]
232,2018-12-03,[0]
233,2018-12-04,[0]
234,2018-12-06,[0]
235,2018-12-07,[0]
236,2018-12-10,[0]
237,2018-12-11,[0]
238,2018-12-12,[0]
239,2018-12-13,[0]
240,2018-12-14,[0]
241,2018-12-17,[0]
242,2018-12-18,[0]
243,2018-12-19,[0]
244,2018-12-20,[0]
245,2018-12-21,[0]
246,2018-12-24,[0]
247,2018-12-26,[0]
248,2018-12-27,[0]
249,2018-12-28,[0]
